item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/dccuchile/bert-base-spanish-wwm-uncased_prob,/data/mrm8488/RuPERTa-base_prob
6,Spanish,Cuetos_Mitchell,low,sg,0,1,a las hermanas,del trabajador,hermanas,trabajador,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,La policía detuvo a las hermanas del trabajador que,$ES_SG,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,0.7303923058189832,0.03359555703292472
6,Spanish,Cuetos_Mitchell,high,sg,0,1,a la hermana,de los trabajadores,hermana,trabajadores,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a la hermana de los trabajadores que,$ES_SG,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,0.01599040990475807,0.3865262201516657
6,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a las hermanas,de los trabajadores,hermanas,trabajadores,La policía detuvo a las hermanas de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a las hermanas de los trabajadores que,$ES_PL,La policía detuvo a las hermanas de los trabajadores que MASKTOKEN en Melilla.,0.9349533383416697,0.570399178938203
6,Spanish,Cuetos_Mitchell,low,pl,0,1,a la hermana,de los trabajadores,hermana,trabajadores,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,La policía detuvo a la hermana de los trabajadores que,$ES_PL,La policía detuvo a la hermana de los trabajadores que MASKTOKEN en Melilla.,0.9392241102573393,0.02771782188074212
6,Spanish,Cuetos_Mitchell,high,pl,0,1,a las hermanas,del trabajador,hermanas,trabajador,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,La policía detuvo a las hermanas del trabajador que,$ES_PL,La policía detuvo a las hermanas del trabajador que MASKTOKEN en Melilla.,0.1768498172470755,0.37724007061285647
7,Spanish,Cuetos_Mitchell,ambi,sg,1,0,la medicina,del paciente,medicina,paciente,La enfermera apartó la medicina del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina del paciente que,$ES_SG,La enfermera apartó la medicina del paciente que MASKTOKEN junto a la ventana.,0.3129035033080121,0.5295622266179976
7,Spanish,Cuetos_Mitchell,low,sg,1,0,las medicinas,del paciente,medicinas,paciente,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas del paciente que,$ES_SG,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,0.3583245322686781,0.13637777723016598
7,Spanish,Cuetos_Mitchell,high,sg,1,0,la medicina,de los pacientes,medicina,pacientes,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina de los pacientes que,$ES_SG,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,0.1301848959329832,0.02847670375872724
7,Spanish,Cuetos_Mitchell,ambi,pl,1,0,las medicinas,de los pacientes,medicinas,pacientes,La enfermera apartó las medicinas de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas de los pacientes que,$ES_PL,La enfermera apartó las medicinas de los pacientes que MASKTOKEN junto a la ventana.,0.5350719640952519,0.6198547640263712
7,Spanish,Cuetos_Mitchell,low,pl,1,0,la medicina,de los pacientes,medicina,pacientes,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,La enfermera apartó la medicina de los pacientes que,$ES_PL,La enfermera apartó la medicina de los pacientes que MASKTOKEN junto a la ventana.,0.5218658409125823,0.6576938625278785
7,Spanish,Cuetos_Mitchell,high,pl,1,0,las medicinas,del paciente,medicinas,paciente,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,La enfermera apartó las medicinas del paciente que,$ES_PL,La enfermera apartó las medicinas del paciente que MASKTOKEN junto a la ventana.,0.04274557660074274,0.441456580163873
8,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la relativa,del granjero,relativa,granjero,Andrés estuvo hablando con la relativa del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa del granjero que,$ES_SG,Andrés estuvo hablando con la relativa del granjero que MASKTOKEN en Brasil.,0.7856589292240734,0.3620811675752975
8,Spanish,Cuetos_Mitchell,low,sg,1,1,las relativas,del granjero,relativas,granjero,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas del granjero que,$ES_SG,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,0.7028722969624273,0.3375970204555472
8,Spanish,Cuetos_Mitchell,high,sg,1,1,la relativa,de los granjeros,relativa,granjeros,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa de los granjeros que,$ES_SG,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,0.025294517389091387,0.11513615972970115
8,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las relativas,de los granjeros,relativas,granjeros,Andrés estuvo hablando con las relativas de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas de los granjeros que,$ES_PL,Andrés estuvo hablando con las relativas de los granjeros que MASKTOKEN en Brasil.,0.647885971412018,0.17128753337230762
8,Spanish,Cuetos_Mitchell,low,pl,1,1,la relativa,de los granjeros,relativa,granjeros,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,Andrés estuvo hablando con la relativa de los granjeros que,$ES_PL,Andrés estuvo hablando con la relativa de los granjeros que MASKTOKEN en Brasil.,0.6981147990970378,0.13949100392824576
8,Spanish,Cuetos_Mitchell,high,pl,1,1,las relativas,del granjero,relativas,granjero,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,Andrés estuvo hablando con las relativas del granjero que,$ES_PL,Andrés estuvo hablando con las relativas del granjero que MASKTOKEN en Brasil.,0.038963547755115346,0.014410569630383563
9,Spanish,Cuetos_Mitchell,ambi,sg,0,1,el zapato,del invitado,zapato,invitado,La sirvienta contemplaba el zapato del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato del invitado que,$ES_SG,La sirvienta contemplaba el zapato del invitado que MASKTOKEN junto a la chimenea.,0.48154550006614016,0.6025604828087125
9,Spanish,Cuetos_Mitchell,low,sg,0,1,los zapatos,del invitado,zapatos,invitado,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos del invitado que,$ES_SG,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,0.4868333646373362,0.49716847803006203
9,Spanish,Cuetos_Mitchell,high,sg,0,1,el zapato,de los invitados,zapato,invitados,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato de los invitados que,$ES_SG,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,0.13099583856990793,0.37289565449648876
9,Spanish,Cuetos_Mitchell,ambi,pl,0,1,los zapatos,de los invitados,zapatos,invitados,La sirvienta contemplaba los zapatos de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos de los invitados que,$ES_PL,La sirvienta contemplaba los zapatos de los invitados que MASKTOKEN junto a la chimenea.,0.7815667882694535,0.5822871249759558
9,Spanish,Cuetos_Mitchell,low,pl,0,1,el zapato,de los invitados,zapato,invitados,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba el zapato de los invitados que,$ES_PL,La sirvienta contemplaba el zapato de los invitados que MASKTOKEN junto a la chimenea.,0.5959753820422562,0.1429488775494292
9,Spanish,Cuetos_Mitchell,high,pl,0,1,los zapatos,del invitado,zapatos,invitado,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,La sirvienta contemplaba los zapatos del invitado que,$ES_PL,La sirvienta contemplaba los zapatos del invitado que MASKTOKEN junto a la chimenea.,0.062388650360834796,0.05668469181432556
10,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la amiga,del concejal,amiga,concejal,Ayer me encontré con la amiga del concejal que MASKTOKEN en Australia.,Ayer me encontré con la amiga del concejal que,$ES_SG,Ayer me encontré con la amiga del concejal que MASKTOKEN en Australia.,0.7116680152386632,0.3958348930131024
10,Spanish,Cuetos_Mitchell,low,sg,0,0,las amigas,del concejal,amigas,concejal,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,Ayer me encontré con las amigas del concejal que,$ES_SG,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,0.4817163452668147,0.14518088559710662
10,Spanish,Cuetos_Mitchell,high,sg,0,0,la amiga,de los concejales,amiga,concejales,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,Ayer me encontré con la amiga de los concejales que,$ES_SG,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,0.02766365051980202,0.15455853545901022
10,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las amigas,de los concejales,amigas,concejales,Ayer me encontré con las amigas de los concejales que MASKTOKEN en Australia.,Ayer me encontré con las amigas de los concejales que,$ES_PL,Ayer me encontré con las amigas de los concejales que MASKTOKEN en Australia.,0.6177550755131094,0.4522106957225418
10,Spanish,Cuetos_Mitchell,low,pl,0,0,la amiga,de los concejales,amiga,concejales,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,Ayer me encontré con la amiga de los concejales que,$ES_PL,Ayer me encontré con la amiga de los concejales que MASKTOKEN en Australia.,0.5726576810834274,0.3273654193173883
10,Spanish,Cuetos_Mitchell,high,pl,0,0,las amigas,del concejal,amigas,concejal,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,Ayer me encontré con las amigas del concejal que,$ES_PL,Ayer me encontré con las amigas del concejal que MASKTOKEN en Australia.,0.15102003754387727,0.330999534579167
11,Spanish,Cuetos_Mitchell,ambi,sg,0,1,al caballo,del viajero,caballo,viajero,El alguacil encerró al caballo del viajero que MASKTOKEN junto al puente.,El alguacil encerró al caballo del viajero que,$ES_SG,El alguacil encerró al caballo del viajero que MASKTOKEN junto al puente.,0.6001591405635018,0.44897737361816326
11,Spanish,Cuetos_Mitchell,low,sg,0,1,a los caballos,del viajero,caballos,viajero,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,El alguacil encerró a los caballos del viajero que,$ES_SG,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,0.2846902251890897,0.07241333762266322
11,Spanish,Cuetos_Mitchell,high,sg,0,1,al caballo,de los viajeros,caballo,viajeros,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró al caballo de los viajeros que,$ES_SG,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,0.0145155089210737,0.07834436338146133
11,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a los caballos,de los viajeros,caballos,viajeros,El alguacil encerró a los caballos de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró a los caballos de los viajeros que,$ES_PL,El alguacil encerró a los caballos de los viajeros que MASKTOKEN junto al puente.,0.6302556653810861,0.5533632087920495
11,Spanish,Cuetos_Mitchell,low,pl,0,1,al caballo,de los viajeros,caballo,viajeros,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,El alguacil encerró al caballo de los viajeros que,$ES_PL,El alguacil encerró al caballo de los viajeros que MASKTOKEN junto al puente.,0.7486877013020563,0.4451884175034593
11,Spanish,Cuetos_Mitchell,high,pl,0,1,a los caballos,del viajero,caballos,viajero,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,El alguacil encerró a los caballos del viajero que,$ES_PL,El alguacil encerró a los caballos del viajero que MASKTOKEN junto al puente.,0.29216201187826996,0.45835248124762984
12,Spanish,Cuetos_Mitchell,ambi,sg,0,1,el juguete,del chico,juguete,chico,La anciana observaba el juguete del chico que MASKTOKEN encima de la cama.,La anciana observaba el juguete del chico que,$ES_SG,La anciana observaba el juguete del chico que MASKTOKEN encima de la cama.,0.6093841637401394,0.6843911902515174
12,Spanish,Cuetos_Mitchell,low,sg,0,1,los juguetes,del chico,juguetes,chico,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,La anciana observaba los juguetes del chico que,$ES_SG,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,0.4201237382474132,0.02214617626087545
12,Spanish,Cuetos_Mitchell,high,sg,0,1,el juguete,de los chicos,juguete,chicos,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,La anciana observaba el juguete de los chicos que,$ES_SG,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,0.4833833887532016,0.01207582907964877
12,Spanish,Cuetos_Mitchell,ambi,pl,0,1,los juguetes,de los chicos,juguetes,chicos,La anciana observaba los juguetes de los chicos que MASKTOKEN encima de la cama.,La anciana observaba los juguetes de los chicos que,$ES_PL,La anciana observaba los juguetes de los chicos que MASKTOKEN encima de la cama.,0.6050792532690596,0.7178290170203852
12,Spanish,Cuetos_Mitchell,low,pl,0,1,el juguete,de los chicos,juguete,chicos,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,La anciana observaba el juguete de los chicos que,$ES_PL,La anciana observaba el juguete de los chicos que MASKTOKEN encima de la cama.,0.08114151899948302,0.7136032391339953
12,Spanish,Cuetos_Mitchell,high,pl,0,1,los juguetes,del chico,juguetes,chico,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,La anciana observaba los juguetes del chico que,$ES_PL,La anciana observaba los juguetes del chico que MASKTOKEN encima de la cama.,0.17385307672317932,0.6931313810865589
13,Spanish,Cuetos_Mitchell,ambi,sg,0,1,a la hija,del comandante,hija,comandante,El periodista entrevistó a la hija del comandante que MASKTOKEN el accidente.,El periodista entrevistó a la hija del comandante que,$ES_SG,El periodista entrevistó a la hija del comandante que MASKTOKEN el accidente.,0.6453378068350029,0.21244281394794484
13,Spanish,Cuetos_Mitchell,low,sg,0,1,a las hijas,del comandante,hijas,comandante,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,El periodista entrevistó a las hijas del comandante que,$ES_SG,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,0.5220962667006322,0.0378801483486626
13,Spanish,Cuetos_Mitchell,high,sg,0,1,a la hija,de los comandantes,hija,comandantes,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a la hija de los comandantes que,$ES_SG,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,0.005030429626237912,0.0569212671639292
13,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a las hijas,de los comandantes,hijas,comandantes,El periodista entrevistó a las hijas de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a las hijas de los comandantes que,$ES_PL,El periodista entrevistó a las hijas de los comandantes que MASKTOKEN el accidente.,0.09939707750836993,0.2826103390352075
13,Spanish,Cuetos_Mitchell,low,pl,0,1,a la hija,de los comandantes,hija,comandantes,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,El periodista entrevistó a la hija de los comandantes que,$ES_PL,El periodista entrevistó a la hija de los comandantes que MASKTOKEN el accidente.,0.13770307854940578,0.1436437126292689
13,Spanish,Cuetos_Mitchell,high,pl,0,1,a las hijas,del comandante,hijas,comandante,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,El periodista entrevistó a las hijas del comandante que,$ES_PL,El periodista entrevistó a las hijas del comandante que MASKTOKEN el accidente.,0.00797784043830494,0.14021910770435086
14,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la maleta,del viajero,maleta,viajero,El campesino contemplaba la maleta del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta del viajero que,$ES_SG,El campesino contemplaba la maleta del viajero que MASKTOKEN bajo un árbol.,0.4563796759382175,0.6865241003247107
14,Spanish,Cuetos_Mitchell,low,sg,1,1,las maletas,del viajero,maletas,viajero,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas del viajero que,$ES_SG,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,0.27815276509667264,0.4539553400751828
14,Spanish,Cuetos_Mitchell,high,sg,1,1,la maleta,de los viajeros,maleta,viajeros,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta de los viajeros que,$ES_SG,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,0.04691220069899771,0.016563954179740215
14,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las maletas,de los viajeros,maletas,viajeros,El campesino contemplaba las maletas de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas de los viajeros que,$ES_PL,El campesino contemplaba las maletas de los viajeros que MASKTOKEN bajo un árbol.,0.7227424617786213,0.9843704898276329
14,Spanish,Cuetos_Mitchell,low,pl,1,1,la maleta,de los viajeros,maleta,viajeros,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,El campesino contemplaba la maleta de los viajeros que,$ES_PL,El campesino contemplaba la maleta de los viajeros que MASKTOKEN bajo un árbol.,0.7485541590676306,0.8748542024405221
14,Spanish,Cuetos_Mitchell,high,pl,1,1,las maletas,del viajero,maletas,viajero,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,El campesino contemplaba las maletas del viajero que,$ES_PL,El campesino contemplaba las maletas del viajero que MASKTOKEN bajo un árbol.,0.04645549745327465,0.2753911880287916
15,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la caja,del soldado,caja,soldado,La gente observaba la caja del soldado que MASKTOKEN en el andén.,La gente observaba la caja del soldado que,$ES_SG,La gente observaba la caja del soldado que MASKTOKEN en el andén.,0.5173961503005984,0.4598402692418233
15,Spanish,Cuetos_Mitchell,low,sg,0,0,las cajas,del soldado,cajas,soldado,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,La gente observaba las cajas del soldado que,$ES_SG,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,0.4429512082010163,0.058950927107041196
15,Spanish,Cuetos_Mitchell,high,sg,0,0,la caja,de los soldados,caja,soldados,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,La gente observaba la caja de los soldados que,$ES_SG,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,0.05333722061397794,0.06045749024026037
15,Spanish,Cuetos_Mitchell,ambi,pl,0,0,las cajas,de los soldados,cajas,soldados,La gente observaba las cajas de los soldados que MASKTOKEN en el andén.,La gente observaba las cajas de los soldados que,$ES_PL,La gente observaba las cajas de los soldados que MASKTOKEN en el andén.,0.6939674005963585,0.622508641226716
15,Spanish,Cuetos_Mitchell,low,pl,0,0,la caja,de los soldados,caja,soldados,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,La gente observaba la caja de los soldados que,$ES_PL,La gente observaba la caja de los soldados que MASKTOKEN en el andén.,0.6000970499970055,0.5649020697202616
15,Spanish,Cuetos_Mitchell,high,pl,0,0,las cajas,del soldado,cajas,soldado,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,La gente observaba las cajas del soldado que,$ES_PL,La gente observaba las cajas del soldado que MASKTOKEN en el andén.,0.0979257056438314,0.5213476938498616
16,Spanish,Cuetos_Mitchell,ambi,sg,0,1,al perro,del vendedor,perro,vendedor,Luis atropelló al perro del vendedor que viene a MASKTOKEN barrio.,Luis atropelló al perro del vendedor que viene a,$ES_SG,Luis atropelló al perro del vendedor que viene a MASKTOKEN barrio.,0.0015765441340322497,0.004665012129153379
16,Spanish,Cuetos_Mitchell,low,sg,0,1,a los perros,del vendedor,perros,vendedor,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,Luis atropelló a los perros del vendedor que viene a,$ES_SG,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,0.0012968848410055064,0.004135727431985092
16,Spanish,Cuetos_Mitchell,high,sg,0,1,al perro,de los vendedores,perro,vendedores,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló al perro de los vendedores que viene a,$ES_SG,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,0.0008358791175130109,0.003702942364283146
16,Spanish,Cuetos_Mitchell,ambi,pl,0,1,a los perros,de los vendedores,perros,vendedores,Luis atropelló a los perros de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló a los perros de los vendedores que viene a,$ES_PL,Luis atropelló a los perros de los vendedores que viene a MASKTOKEN barrio.,9.98197102492944e-05,0.0009413540776950224
16,Spanish,Cuetos_Mitchell,low,pl,0,1,al perro,de los vendedores,perro,vendedores,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,Luis atropelló al perro de los vendedores que viene a,$ES_PL,Luis atropelló al perro de los vendedores que viene a MASKTOKEN barrio.,0.00012947247816237628,0.00035783061257538273
16,Spanish,Cuetos_Mitchell,high,pl,0,1,a los perros,del vendedor,perros,vendedor,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,Luis atropelló a los perros del vendedor que viene a,$ES_PL,Luis atropelló a los perros del vendedor que viene a MASKTOKEN barrio.,9.940925153598557e-05,0.000607304642423756
17,Spanish,Cuetos_Mitchell,ambi,sg,1,1,la prima,del obrero,prima,obrero,Andrés cenó ayer con la prima del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima del obrero que,$ES_SG,Andrés cenó ayer con la prima del obrero que MASKTOKEN en partido comunista.,0.26688862465721463,0.3624200476491666
17,Spanish,Cuetos_Mitchell,low,sg,1,1,las primas,del obrero,primas,obrero,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas del obrero que,$ES_SG,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,0.2980527802173958,0.07545176236788365
17,Spanish,Cuetos_Mitchell,high,sg,1,1,la prima,de los obreros,prima,obreros,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima de los obreros que,$ES_SG,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,0.023350031844920016,0.05492322950466999
17,Spanish,Cuetos_Mitchell,ambi,pl,1,1,las primas,de los obreros,primas,obreros,Andrés cenó ayer con las primas de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas de los obreros que,$ES_PL,Andrés cenó ayer con las primas de los obreros que MASKTOKEN en partido comunista.,0.49081971831865445,0.6020220053114969
17,Spanish,Cuetos_Mitchell,low,pl,1,1,la prima,de los obreros,prima,obreros,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,Andrés cenó ayer con la prima de los obreros que,$ES_PL,Andrés cenó ayer con la prima de los obreros que MASKTOKEN en partido comunista.,0.35230501290222804,0.5366117120108669
17,Spanish,Cuetos_Mitchell,high,pl,1,1,las primas,del obrero,primas,obrero,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,Andrés cenó ayer con las primas del obrero que,$ES_PL,Andrés cenó ayer con las primas del obrero que MASKTOKEN en partido comunista.,0.0024394271888424704,0.516950423701644
18,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al gato,de la francesa,gato,francesa,Jorge acariciaba al gato de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba al gato de la francesa que,$ES_SG,Jorge acariciaba al gato de la francesa que MASKTOKEN en la fuente.,0.5246175485646758,0.6103349790200525
18,Spanish,Cuetos_Mitchell,low,sg,0,0,a los gatos,de la francesa,gatos,francesa,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de la francesa que,$ES_SG,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,0.21401196259946964,0.010177397668527988
18,Spanish,Cuetos_Mitchell,high,sg,0,0,al gato,de las francesas,gato,francesas,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba al gato de las francesas que,$ES_SG,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,0.0686654301608769,0.24109462369790435
18,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los gatos,de las francesas,gatos,francesas,Jorge acariciaba a los gatos de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de las francesas que,$ES_PL,Jorge acariciaba a los gatos de las francesas que MASKTOKEN en la fuente.,0.5528269650628737,0.6315323126105952
18,Spanish,Cuetos_Mitchell,low,pl,0,0,al gato,de las francesas,gato,francesas,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,Jorge acariciaba al gato de las francesas que,$ES_PL,Jorge acariciaba al gato de las francesas que MASKTOKEN en la fuente.,0.5783732682249001,0.3756065023517863
18,Spanish,Cuetos_Mitchell,high,pl,0,0,a los gatos,de la francesa,gatos,francesa,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,Jorge acariciaba a los gatos de la francesa que,$ES_PL,Jorge acariciaba a los gatos de la francesa que MASKTOKEN en la fuente.,0.3454854341276672,0.6340522792753447
19,Spanish,Cuetos_Mitchell,ambi,sg,0,0,al hermano,del cura,hermano,cura,Marta saludó al hermano del cura que MASKTOKEN en el colegio.,Marta saludó al hermano del cura que,$ES_SG,Marta saludó al hermano del cura que MASKTOKEN en el colegio.,0.4419841499141981,0.4382190682896976
19,Spanish,Cuetos_Mitchell,low,sg,0,0,a los hermanos,del cura,hermanos,cura,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,Marta saludó a los hermanos del cura que,$ES_SG,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,0.13441964191646338,0.0058582629161021416
19,Spanish,Cuetos_Mitchell,high,sg,0,0,al hermano,de los curas,hermano,curas,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,Marta saludó al hermano de los curas que,$ES_SG,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,0.12475456096546367,0.018891195878019573
19,Spanish,Cuetos_Mitchell,ambi,pl,0,0,a los hermanos,de los curas,hermanos,curas,Marta saludó a los hermanos de los curas que MASKTOKEN en el colegio.,Marta saludó a los hermanos de los curas que,$ES_PL,Marta saludó a los hermanos de los curas que MASKTOKEN en el colegio.,0.4853261826239912,0.5470262695027657
19,Spanish,Cuetos_Mitchell,low,pl,0,0,al hermano,de los curas,hermano,curas,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,Marta saludó al hermano de los curas que,$ES_PL,Marta saludó al hermano de los curas que MASKTOKEN en el colegio.,0.5139225542830488,0.543687815917032
19,Spanish,Cuetos_Mitchell,high,pl,0,0,a los hermanos,del cura,hermanos,cura,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,Marta saludó a los hermanos del cura que,$ES_PL,Marta saludó a los hermanos del cura que MASKTOKEN en el colegio.,0.45826430999444767,0.6081121304060009
20,Spanish,Cuetos_Mitchell,ambi,sg,0,0,la maleta,del estudiante,maleta,estudiante,El detective fotografió la maleta del estudiante que MASKTOKEN en la terraza.,El detective fotografió la maleta del estudiante que,$ES_SG,El detective fotografió la maleta del estudiante que MASKTOKEN en la terraza.,0.5995675274181722,0.5281213157444427
20,Spanish,Cuetos_Mitchell,low,sg,0,0,las maletas,del estudiante,maletas,estudiante,El detective fotografió las maletas del estudiante que MASKTOKEN en la terraza.,El detective fotografió las maletas del estudiante que,$ES_SG,El detective fotografió las maletas del estudiante que MASKTOKEN en la terraza.,0.6459851186338532,0.35965503836353463
20,Spanish,Cuetos_Mitchell,high,sg,0,0,la maleta,de los estudiantes,maleta,estudiantes,El detective fotografió la maleta de los estudiantes que MASKTOKEN en la terraza.,El detective fotografió la maleta de los estudiantes que,$ES_SG,El detective fotografió la maleta de los estudiantes que MASKTOKEN en la terraza.,0.04241881318854422,0.007729483857881192
