item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
23,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,council woman,queen,lord,f,f,f,the council woman told the queen that the lord would be upset with MASKTOKEN when the news became known.,the council woman told the queen that the lord would be upset with,him,the council woman told the queen that the lord would be upset with MASKTOKEN when the news became known.,5.657469272613525,4.492345333099365
23,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,council woman,queen,lady,f,f,f,the council woman told the queen that the lady would be upset with MASKTOKEN when the news became known.,the council woman told the queen that the lady would be upset with,him,the council woman told the queen that the lady would be upset with MASKTOKEN when the news became known.,3.792376756668091,3.339965343475342
24,1,Match_Match_Match,Match,Match,Match,granddaughter,waiter,chairman,m,m,m,the granddaughter told the waiter that the chairman would protect MASKTOKEN if there were an investigation.,the granddaughter told the waiter that the chairman would protect,him,the granddaughter told the waiter that the chairman would protect MASKTOKEN if there were an investigation.,2.4901671409606934,2.393279552459717
24,1,Match_Match_Mismatch,Match,Match,Mismatch,granddaughter,waiter,chair woman,m,m,m,the granddaughter told the waiter that the chair woman would protect MASKTOKEN if there were an investigation.,the granddaughter told the waiter that the chair woman would protect,him,the granddaughter told the waiter that the chair woman would protect MASKTOKEN if there were an investigation.,1.5202107429504395,1.7085306644439697
24,1,Match_Mismatch_Match,Match,Mismatch,Match,granddaughter,waitress,chairman,m,f,f,the granddaughter told the waitress that the chairman would protect MASKTOKEN if there were an investigation.,the granddaughter told the waitress that the chairman would protect,him,the granddaughter told the waitress that the chairman would protect MASKTOKEN if there were an investigation.,3.585963487625122,3.5000569820404053
24,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,granddaughter,waitress,chair woman,m,f,f,the granddaughter told the waitress that the chair woman would protect MASKTOKEN if there were an investigation.,the granddaughter told the waitress that the chair woman would protect,him,the granddaughter told the waitress that the chair woman would protect MASKTOKEN if there were an investigation.,4.849276065826416,2.7714273929595947
24,1,Mismatch_Match_Match,Mismatch,Match,Match,grandson,waiter,chairman,f,m,m,the grandson told the waiter that the chairman would protect MASKTOKEN if there were an investigation.,the grandson told the waiter that the chairman would protect,him,the grandson told the waiter that the chairman would protect MASKTOKEN if there were an investigation.,0.5887570381164551,0.6238753795623779
24,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,grandson,waiter,chair woman,f,m,m,the grandson told the waiter that the chair woman would protect MASKTOKEN if there were an investigation.,the grandson told the waiter that the chair woman would protect,him,the grandson told the waiter that the chair woman would protect MASKTOKEN if there were an investigation.,0.4768107235431671,0.4299798905849457
24,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,grandson,waitress,chairman,f,f,f,the grandson told the waitress that the chairman would protect MASKTOKEN if there were an investigation.,the grandson told the waitress that the chairman would protect,him,the grandson told the waitress that the chairman would protect MASKTOKEN if there were an investigation.,0.6806436777114868,1.0881984233856201
24,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,grandson,waitress,chair woman,f,f,f,the grandson told the waitress that the chair woman would protect MASKTOKEN if there were an investigation.,the grandson told the waitress that the chair woman would protect,him,the grandson told the waitress that the chair woman would protect MASKTOKEN if there were an investigation.,1.4392883777618408,0.4445532560348511
